member_casual,hour_of_day,total_rides
casual,0,19288
casual,1,12225
casual,2,7812
casual,3,4192
casual,4,3390
casual,5,6312
casual,6,15373
casual,7,28776
casual,8,40215
casual,9,39673
casual,10,48837
casual,11,62433
casual,12,73184
casual,13,75436
casual,14,79985
casual,15,88251
casual,16,101656
casual,17,107424
casual,18,87442
casual,19,63101
casual,20,44788
casual,21,37826
casual,22,31539
casual,23,23015
member,0,15150
member,1,8898
member,2,5169
member,3,3259
member,4,4700
member,5,21423
member,6,64898
member,7,131434
member,8,161974
member,9,98280
member,10,83526
member,11,97498
member,12,111625
member,13,110190
member,14,112529
member,15,143754
member,16,208344
member,17,233779
member,18,171506
member,19,114351
member,20,78748
member,21,59190
member,22,41509
member,23,25197
