member_casual,year,month,total_rides,avg_ride_length_minutes
casual,2025,4,18,330.28
casual,2025,5,124448,23.02
casual,2025,6,146107,24.18
casual,2025,7,160504,24.15
casual,2025,8,144483,24.03
casual,2025,9,128164,21.1
casual,2025,10,124107,20.06
casual,2025,11,63617,16.57
casual,2025,12,18640,13.9
casual,2026,1,16395,14.21
casual,2026,2,29369,15.04
casual,2026,3,59799,18.32
casual,2026,4,86522,18.29
member,2025,4,14,12.5
member,2025,5,213632,11.69
member,2025,6,197022,12.62
member,2025,7,217684,13.19
member,2025,8,193397,12.78
member,2025,9,229157,12.27
member,2025,10,241879,11.98
member,2025,11,169366,11.64
member,2025,12,76492,11.6
member,2026,1,79736,11.62
member,2026,2,116797,10.39
member,2026,3,159242,11.03
member,2026,4,212513,11.34
